mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_randomforest__criterion;param_randomforest__max_depth;param_randomforest__max_features;param_randomforest__min_samples_leaf;param_randomforest__min_samples_split;param_randomforest__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.5080003261566162;0.047029919321456254;0.04510118961334229;0.006409729897964579;gini;9;8;2;11;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 11, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5463917525773195;0.5360824742268041;0.4845360824742268;0.5360824742268041;0.5051546391752577;0.5189880075741636;0.05015620761378445;208
0.515900444984436;0.0609469874933883;0.04960036277770996;0.01740773346524524;gini;9;8;2;11;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 11, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.41836734693877553;0.5360824742268041;0.5463917525773195;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.5189774879023774;0.047699750893916405;215
0.5331025362014771;0.057072381525133456;0.04949982166290283;0.017929902968274326;gini;9;8;3;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.5137012004852295;0.04535143188897922;0.043698668479919434;0.008590841672772279;gini;9;8;3;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.4899001121520996;0.019947121481310278;0.04300038814544678;0.004267267587016594;gini;9;8;3;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.5269001245498657;0.05187981227967367;0.05759994983673096;0.017431757250343415;gini;9;8;3;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.512899374961853;0.04684945053374078;0.04170103073120117;0.004733073771189214;gini;9;8;3;11;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 11, 'randomforest__random_state': 1};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.5202000856399536;0.06206185595303073;0.04189932346343994;0.006107005030142391;gini;9;8;3;11;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 3, 'randomforest__min_samples_split': 11, 'randomforest__random_state': None};0.5;0.5510204081632653;0.6122448979591837;0.5102040816326531;0.40816326530612246;0.5360824742268041;0.5257731958762887;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.515895224069009;0.04910161917302451;245
0.5248000144958496;0.057487029896240216;0.04389960765838623;0.0066402910926458645;gini;9;9;1;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 9, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.5;0.5612244897959183;0.6122448979591837;0.5204081632653061;0.40816326530612246;0.5567010309278351;0.5567010309278351;0.4845360824742268;0.5360824742268041;0.5154639175257731;0.5251525352409004;0.052039944464480486;99
0.5126996040344238;0.04405173455261546;0.04459965229034424;0.007214081169378534;gini;9;9;1;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 9, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.5;0.5612244897959183;0.6122448979591837;0.5204081632653061;0.40816326530612246;0.5360824742268041;0.5463917525773195;0.4845360824742268;0.5257731958762887;0.5051546391752577;0.5199978960656427;0.05057941883284583;204
